Common Name,Scientific Name,Description,Light Requirement,Water Requirement,Space,Maintenance Level,Shape and Form,Blooms or Foliage,Special Features,Foliage Color and Texture
Tradescantia ‘Nanouk’,Tradescantia spp. ‘Nanouk’,"A vibrant, fast-growing plant that boasts pink, green, and white striped leaves. Tradescantia ‘Nanouk’ is beloved for its eye-catching foliage and effortless care.",Medium-Light,Drought Tolerant,Small-Space Plant,Low-Maintenance,Trailing,Foliage,,
Silver Pothos,Scindapsus pictus,"An elegant, vining plant adorned with silver-splashed, heart-shaped leaves. The Silver Pothos adds a touch of glamour and interest to any indoor setting.",Low-Light,Moisture-Loving,Small-Space Plant,Low-Maintenance,Climbing and Trailing,Foliage,Air-Purifying,
Golden Pothos,Epipremnum aureum,"A resilient, trailing plant with heart-shaped leaves featuring golden-yellow variegation. The Golden Pothos is a favorite among indoor gardeners for its adaptability and low-maintenance nature.",Low-Light,Drought Tolerant,Small-Space Plant,Low-Maintenance,Climbing and Trailing,Foliage,Air-Purifying,
Satin Pothos,Scindapsus pictus ‘Argyraeus’,"A sophisticated vining plant with velvety, heart-shaped leaves adorned with silver patterns. The Satin Pothos adds a touch of refinement to any space while being easy to care for.",Low-Light,Moisture-Loving,Small-Space Plant,Low-Maintenance,Climbing and Trailing,Foliage,Air-Purifying,
Peace Lily,Spathiphyllum wallisii,"An elegant plant with dark green, glossy leaves and striking white blooms that resemble a calla lily. Peace Lilies are known for their air-purifying capabilities and relatively low-maintenance care.",Low-Light,Moisture-Loving,Medium-Space Plant,Moderate-Maintenance,Upright,Flowering,"Air-Purifying, Fragrant",
Fern,Nephrolepis exaltata,"A classic, feathery indoor plant that brings a touch of the outdoors inside. Boston Ferns are appreciated for their lush, green fronds and air-purifying properties.",Medium-Light,Moisture-Loving,Medium-Space Plant,Moderate-Maintenance,Bushy and Spreading,Foliage,Air-Purifying,
Bamboo Palm,Chamaedorea seifrizii,"A graceful, tropical palm with slender, arching stems and delicate, feathather-like fronds. Bamboo Palms infuse any indoor space with an exotic ambiance while also purifying the air.",Medium-Light,Moisture-Loving,Large-Space Plant,Moderate-Maintenance,Upright,Foliage,Air-Purifying,
Philodendron Heartleaf,Philodendron hederaceum,"A charming, vining plant with heart-shaped leaves in a glossy, deep green hue. The Heartleaf Philodendron is prized for its adaptability and low-maintenance care requirements.",Low-Light,Drought Tolerant,Small-Space Plant,Low-Maintenance,Climbing and Trailing,Foliage,Air-Purifying,
Dracaena Janet Craig,Dracaena deremensis ‘Janet Craig’,"An attractive, low-maintenance plant with long, dark green leaves that arch gracefully from the central stalk. Dracaena Janet Craig is a popular choice for its air-purifying abilities and undemanding care.",Low-Light,Drought Tolerant,Medium-Space Plant,Low-Maintenance,Upright,Foliage,Air-Purifying,
Chinese Evergreen,Aglaonema commutatum,"A versatile, easy-care plant with striking, variegated leaves that come in a range of colors and patterns. Chinese Evergreens are valued for their ability to tolerate low-light conditions and purify indoor air.",Low-Light,Drought Tolerant,Small-Space Plant,Low-Maintenance,Bushy and Spreading,Foliage,Air-Purifying,
Gerbera Daisy,Gerbera jamesonii,"A bright and cheerful flowering plant with large, daisy-like blooms in a variety of vibrant colors. Gerbera Daisies are not only visually stunning but also effective at purifying the air.",High-Light,Drought Tolerant,Small-Space Plant,Moderate-Maintenance,Upright,Flowering,"Air-Purifying, Fragrant",
Barberton Daisy,Gerbera jamesonii,"A close relative of the Gerbera Daisy, the Barberton Daisy produces large, colorful blooms that add a pop of color and cheer to any indoor space. It also helps to purify the air.",High-Light,Drought Tolerant,Small-Space Plant,Moderate-Maintenance,Upright,Flowering,"Air-Purifying, Fragrant",
Florist’s Chrysanthemum,Chrysanthemum morifolium,"A stunning plant with large, brightly colored blooms that come in a variety of hues. Florist’s Chrysanthemums are not only visually captivating but also known for their air-purifying properties.",High-Light,Moisture-Loving,Medium-Space Plant,Moderate-Maintenance,Upright,Flowering,"Air-Purifying, Fragrant",
Heartleaf Philodendron,Philodendron cordatum,"A lovely, vining plant with heart-shaped, deep green leaves. The Heartleaf Philodendron is appreciated for its adaptability and easy-care nature.",Low-Light,Drought Tolerant,Small-Space Plant,Low-Maintenance,Climbing and Trailing,Foliage,Air-Purifying,
Red-Edged Dracaena,Dracaena marginata,"A striking plant with long, slender leaves edged in red, the Red-Edged Dracaena adds a touch of drama to any space. It is also valued for its air-purifying abilities and low-maintenance care requirements.",Low-Light,Drought Tolerant,Medium-Space Plant,Low-Maintenance,Upright,Foliage,Air-Purifying,
Parlor Palm,Chamaedorea elegans,"A compact, slow-growing palm with feathery fronds, the Parlor Palm is perfect for adding a tropical touch to smaller spaces. It is also known for its air-purifying properties.",Low-Light,Moisture-Loving,Small-Space Plant,Low-Maintenance,Upright,Foliage,Air-Purifying,
Money Plant,Epipremnum aureum ‘Marble Queen’,"A popular, variegated variety of the Golden Pothos, the Money Plant features striking, marbled green and white leaves. This easy-care plant is perfect for beginners and is known for its air-purifying properties.",Low-Light,Drought Tolerant,Small-Space Plant,Low-Maintenance,Climbing and Trailing,Foliage,Air-Purifying,
Umbrella Tree,Schefflera arboricola,"A versatile and attractive indoor plant, the Umbrella Tree features glossy, palmate leaves that resemble an open umbrella. This plant is valued for its easy-care nature and ability to adapt to various light conditions.",Medium-Light,Drought Tolerant,Medium-Space Plant,Low-Maintenance,Upright,Foliage,Air-Purifying,
Dumb Cane,Dieffenbachia seguine,"An eye-catching plant with large, variegated leaves featuring shades of green, cream, and white. The Dumb Cane is known for its air-purifying abilities, but it should be handled with care as its sap can be irritating.",Low-Light,Moisture-Loving,Medium-Space Plant,Moderate-Maintenance,Upright,Foliage,Air-Purifying,
Silver Queen,Aglaonema ‘Silver Queen’,"A stunning variety of the Chinese Evergreen, the Silver Queen features silvery-green, variegated leaves that add a touch of elegance to any indoor space. This plant is appreciated for its low-maintenance care and air-purifying abilities.",Low-Light,Drought Tolerant,Small-Space Plant,Low-Maintenance,Bushy and Spreading,Foliage,Air-Purifying,
Warneck Dracaena,Dracaena deremensis ‘Warneckii’,"An attractive, upright plant with long, sword-like leaves featuring white and green variegation. The Warneck Dracaena is not only visually appealing but also effective at purifying indoor air.",Low-Light,Drought Tolerant,Medium-Space Plant,Low-Maintenance,Upright,Foliage,Air-Purifying,
